,Country/Region,CapitalName_x,CapitalLatitude,CapitalLongitude
121,Niger,Niamey,13.516666666666667,2.1166669999999996
122,Nigeria,Abuja,9.083333333333334,7.533333
123,North Korea,Pyongyang,39.016666666666666,125.75
124,Norway,Oslo,59.91666666666666,10.75
125,Oman,Muscat,23.61666666666667,58.583332999999996
126,Pakistan,Islamabad,33.68333333333333,73.05
127,Palau,Melekeok,7.4833333333333325,134.633333
128,Palestine,Jerusalem,31.766666666666666,35.233333
129,Panama,Panama City,8.966666666666667,-79.533333
130,Papua New Guinea,Port Moresby,-9.45,147.183333
131,Paraguay,Asuncion,-25.266666666666666,-57.666667000000004
132,Peru,Lima,-12.05,-77.05
133,Philippines,Manila,14.6,120.96666699999999
134,Poland,Warsaw,52.25,21.0
135,Portugal,Lisbon,38.71666666666667,-9.133333
136,Puerto Rico,San Juan,18.466666666666665,-66.116667
137,Qatar,Doha,25.28333333333333,51.533333
138,Romania,Bucharest,44.43333333333333,26.1
139,Russia,Moscow,55.75,37.6
140,Rwanda,Kigali,-1.95,30.05
141,Saint Kitts and Nevis,Basseterre,17.3,-62.716667
142,Saint Lucia,Castries,14.0,-61.0
143,Saint Vincent and the Grenadines,Kingstown,13.133333333333333,-61.216667
144,Samoa,Apia,-13.816666666666665,-171.76666699999998
145,San Marino,San Marino,43.93333333333333,12.416667
146,Saudi Arabia,Riyadh,24.65,46.7
147,Senegal,Dakar,14.733333333333333,-17.633333
148,Serbia,Belgrade,44.83333333333334,20.5
149,Seychelles,Victoria,-4.616666666666667,55.45
150,Sierra Leone,Freetown,8.483333333333333,-13.233332999999998
151,Singapore,Singapore,1.2833333333333332,103.85
152,Slovakia,Bratislava,48.15,17.116667
153,Slovenia,Ljubljana,46.05,14.516667000000002
154,Solomon Islands,Honiara,-9.433333333333334,159.95
155,Somalia,Mogadishu,2.066666666666667,45.333333
156,South Africa,Pretoria,-25.7,28.216666999999998
157,South Korea,Seoul,37.55,126.983333
158,South Sudan,Juba,4.85,31.616667
159,Spain,Madrid,40.4,-3.683333
160,Sri Lanka,"Sri Jayawardenepura Kotte (legislative), Colombo (executive, judicial)",6.916666666666668,79.833333
161,Sudan,Khartoum,15.6,32.533333
162,Suriname,Paramaribo,5.833333333333332,-55.166667000000004
163,Sweden,Stockholm,59.33333333333334,18.05
164,Switzerland,Bern,46.91666666666666,7.466667
165,Syria,Damascus,33.5,36.3
166,São Tomé and Príncipe,São Tomé,0.3333333333333333,6.733333
167,Taiwan,Taipei,25.03333333333333,121.516667
168,Tajikistan,Dushanbe,38.55,68.766667
169,Tanzania,Dar es Salaam,-6.8,39.283333
170,Thailand,Bangkok,13.75,100.516667
171,The Bahamas,Nassau,25.08333333333333,-77.35
172,The Gambia,Banjul,13.45,-16.566667000000002
173,Togo,Lome,6.116666666666666,1.216667
174,Tonga,Nuku'alofa,-21.133333333333333,-175.2
175,Trinidad and Tobago,Port of Spain,10.65,-61.516667000000005
176,Tunisia,Tunis,36.8,10.183333
177,Turkey,Ankara,39.93333333333333,32.866667
178,Turkmenistan,Ashgabat,37.95,58.38333299999999
179,Tuvalu,Funafuti,-8.516666666666667,179.216667
180,Uganda,Kampala,0.31666666666666665,32.55
181,Ukraine,Kyiv,50.43333333333333,30.516666999999998
182,United Arab Emirates,Abu Dhabi,24.466666666666665,54.36666700000001
183,United Kingdom,London,51.5,-0.083333
184,United States of America,Washington D.C.,38.883333,-77.0
185,Uruguay,Montevideo,-34.85,-56.166667000000004
186,Uzbekistan,Tashkent,41.31666666666667,69.25
187,Vanuatu,Port-Vila,-17.733333333333334,168.316667
188,Vatican City,Vatican City,41.9,12.45
189,Venezuela,Caracas,10.483333333333333,-66.866667
190,Vietnam,Hanoi,21.03333333333333,105.85
191,Yemen,Sanaa,15.35,44.2
192,Zambia,Lusaka,-15.416666666666664,28.283333000000002
193,Zimbabwe,Harare,-17.816666666666666,31.033333000000002
